ОТДЕЛЕНИЕ;USD пок;USD прод;EUR пок;EUR прод;RUB пок;RUB прод
  Беларусбанк г. Минск, пр. Победителей, 89  15:25;2.025;2.063;2.230;2.292;3.020;3.200
  Беларусбанк г. Минск, ул. Восточная, 48  15:13;2.025;2.063;2.230;2.292;3.020;3.200
  Беларусбанк г. Минск, ул. Долгиновский тракт, 178  15:25;2.025;2.063;2.230;2.292;3.020;3.200
  Беларусбанк г. Минск, Перес. логойский тракт - мкад  15:25;2.025;2.063;2.230;2.292;3.020;3.200
  Беларусбанк г. Минск, пр. Победителей, 59А  15:25;2.025;2.063;2.230;2.292;3.020;3.200
  Беларусбанк г. Минск, пр. Победителей, 103  15:25;2.025;2.063;2.230;2.292;3.020;3.200
  Беларусбанк г. Минск, пл. Привокзальная, 5  15:25;2.024;2.062;2.225;2.290;3.010;3.190
  Беларусбанк г. Минск, ул. Кирова, 2  15:25;2.024;2.062;2.225;2.290;3.010;3.190
  Беларусбанк г. Минск, пр. Независимости-ул.ленина  15:25;2.024;2.062;2.225;2.290;3.010;3.190
  Беларусбанк г. Минск, пр. Независимости, 3-2, пом.505  15:25;2.024;2.062;2.225;2.290;3.010;3.190
  Беларусбанк г. Минск, пл. Привокзальная, 5  15:13;2.024;2.062;2.225;2.290;3.010;3.190
  Беларусбанк г. Минск, ул. Корженевского, 26  15:25;2.030;2.065;2.230;2.290;3.040;3.210
  Беларусбанк г. Минск, пр. Независимости, 54  15:25;2.024;2.062;2.228;2.290;3.040;3.200
  Беларусбанк г. Минск, ул. Бобруйская, 6  15:25;2.024;2.062;2.228;2.290;3.040;3.200
  Беларусбанк г. Минск, Ул. Кольцова, 32  15:13;2.024;2.062;2.228;2.290;3.040;3.200
  Беларусбанк г. Минск, пр. Независимости, 154  15:25;2.040;2.062;2.260;2.285;3.040;3.200
  Беларусбанк г. Минск, 2-ой пер. Р.люксембург, 6  15:25;2.028;2.060;2.230;2.290;3.020;3.200
  Беларусбанк г. Минск, ул. Фабрициуса, 7/6  15:25;2.028;2.060;2.230;2.290;3.020;3.200
